1	Aaron Rodgers	QB	GB	16	401	610	66	4,428	7	40	7	104	67	369	6	4	23.8	380.02
2	Matt Ryan	QB	ATL	16	373	534	70	4,944	9	38	7	117	35	117	3	0	21.7	347.46
3	Drew Brees	QB	NO	16	471	673	70	5,208	8	37	15	102	23	20	1	2	20.8	332.32
4	Andrew Luck	QB	IND	15	346	545	64	4,240	8	31	13	96	64	341	5	2	20.5	307.70
5	Kirk Cousins	QB	WAS	16	406	606	67	4,917	8	25	12	97	34	96	3	4	18.8	300.28
6	Dak Prescott	QB	DAL	16	311	459	68	3,667	8	23	4	105	57	282	5	6	17.9	286.88
7	Matthew Stafford	QB	DET	16	388	594	65	4,327	7	24	10	93	37	207	6	2	17.5	279.78
8	Tyrod Taylor	QB	BUF	15	270	437	62	3,023	7	17	6	90	95	580	6	6	18.1	270.92
9	Blake Bortles	QB	JAX	16	368	625	59	3,905	6	23	16	79	58	359	6	3	16.9	270.10
10	Derek Carr	QB	OAK	15	356	559	64	3,933	7	28	6	97	38	69	2	0	17.9	268.22
11	Russell Wilson	QB	SEA	16	353	546	65	4,219	8	21	11	93	72	259	4	1	16.8	268.06
12	Andy Dalton	QB	CIN	16	364	563	65	4,206	8	18	8	92	46	184	4	4	16.3	260.64
13	Marcus Mariota	QB	TEN	15	276	451	61	3,426	8	26	9	96	60	349	6	2	17.3	259.94
14	Philip Rivers	QB	SD	16	349	578	60	4,386	8	33	21	88	14	35	3	0	16.2	258.94
15	Tom Brady	QB	NE	12	291	432	67	3,554	8	28	2	112	28	64	2	0	21.5	258.56
16	Jameis Winston	QB	TB	16	345	567	61	4,090	7	28	18	86	52	168	3	1	16	256.40
17	Cam Newton	QB	CAR	15	270	510	53	3,509	7	19	14	76	90	359	4	5	17	254.26
18	Ben Roethlisberger	QB	PIT	14	328	509	64	3,819	8	29	13	95	16	14	1	1	18	252.16
19	Carson Palmer	QB	ARI	15	364	597	61	4,233	7	26	14	87	14	38	3	0	16.2	243.12
20	Joe Flacco	QB	BAL	16	436	672	65	4,317	6	20	15	84	21	58	3	2	15.2	242.48
21	Eli Manning	QB	NYG	16	377	598	63	4,027	7	26	16	86	22	-9	0	0	14	224.18
22	Alex Smith	QB	KC	15	328	489	67	3,502	7	15	8	91	48	134	3	5	14.9	223.78
23	Sam Bradford	QB	MIN	16	395	552	72	3,877	7	20	5	99	20	53	3	0	14.7	220.88
24	Carson Wentz	QB	PHI	16	379	607	62	3,782	6	16	14	79	46	150	3	2	13.3	212.98
25	Colin Kaepernick	QB	SF	16	196	332	59	2,241	7	16	4	90	69	468	7	2	16.7	200.44
26	Trevor Siemian	QB	DEN	14	289	486	60	3,401	7	18	10	85	28	57	2	0	13.7	191.74
27	Ryan Tannehill	QB	MIA	13	261	389	67	2,995	8	19	12	94	39	164	4	1	14.6	190.20
28	Brock Osweiler	QB	HOU	16	301	510	59	2,957	6	15	16	72	30	131	4	2	11.3	168.78
29	Ryan Fitzpatrick	QB	NYJ	16	228	403	57	2,710	7	12	17	70	33	130	4	0	9.5	133.40
30	Case Keenum	QB	LA	14	196	322	61	2,201	7	9	11	76	20	51	3	1	11.1	111.14
31	Brian Hoyer	QB	CHI	7	134	200	67	1,445	7	6	0	98	7	-2	0	0	13.3	79.60
32	Cody Kessler	QB	CLE	12	128	195	66	1,380	7	6	2	92	11	18	2	0	8.6	77
33	Blaine Gabbert	QB	SF	13	91	160	57	925	6	5	6	68	40	173	4	2	12.1	72.70
34	Matt Barkley	QB	CHI	14	129	216	60	1,611	8	8	14	68	7	2	0	0	10.1	70.84
35	Robert Griffin III	QB	CLE	5	87	147	59	886	6	2	3	73	31	190	6	2	13.3	66.44
36	Matt Moore	QB	MIA	16	55	87	63	721	8	8	3	106	1	-1	-1	0	13.7	54.74
37	Jared Goff	QB	LA	14	112	205	55	1,089	5	5	7	64	8	16	2	1	7.6	53.16
38	Josh McCown	QB	CLE	7	90	165	55	1,100	7	6	6	72	7	21	3	0	10.4	52.10
39	Jay Cutler	QB	CHI	5	81	137	59	1,059	8	4	5	78	5	24	5	0	9.4	46.76
40	Jimmy Garoppolo	QB	NE	14	43	63	68	502	8	4	0	113	10	6	1	0	5.8	34.98
41	Landry Jones	QB	PIT	16	53	86	62	558	7	4	2	86	6	-4	-1	0	4.2	33.92
42	Bryce Petty	QB	NYJ	8	75	133	56	809	6	3	7	60	5	19	4	0	5.4	32.26
43	Paxton Lynch	QB	DEN	16	49	83	59	497	6	2	1	79	11	25	2	0	9.5	28.38
44	Jacoby Brissett	QB	NE	4	34	55	62	400	7	0	0	84	16	83	5	1	9.4	28.30
45	Nick Foles	QB	KC	16	36	55	66	410	8	3	0	106	4	-4	-1	0	9.3	28
46	Tom Savage	QB	HOU	14	46	73	63	461	6	0	0	81	6	12	2	0	5.9	17.64
47	Kevin Hogan	QB	CLE	5	14	26	54	104	4	0	2	32	8	105	13	1	4.2	16.66
48	Derek Anderson	QB	CAR	15	36	53	68	453	9	2	5	68	1	4	4	0	2.8	16.52
49	Matt Cassel	QB	TEN	16	30	51	59	284	6	2	2	71	4	3	1	0	3.9	15.66
50	Shaun Hill	QB	MIN	16	19	35	54	242	7	0	0	76	5	5	1	0	3.4	10.18
