1	Travis Kelce	TE	KC	16	117	85	73	1,125	4	80	10	13	1	-5	0	0	0	8.6	138
2	Greg Olsen	TE	CAR	16	129	80	62	1,073	3	78	8	13	0	0	0	0	0	8	127.30
3	Kyle Rudolph	TE	MIN	16	132	83	63	840	7	44	6	10	0	0	0	0	0	7.9	126
4	Jimmy Graham	TE	SEA	16	95	65	68	923	6	42	10	14	1	0	0	2	2	7.8	124.30
5	Delanie Walker	TE	TEN	15	102	65	64	800	7	47	8	12	2	11	0	1	0	8.2	123.10
6	Cameron Brate	TE	TB	15	81	57	70	660	8	38	8	12	0	0	0	1	0	7.6	114
7	Martellus Bennett	TE	NE	16	73	55	75	701	7	58	10	13	2	10	0	0	0	7.1	113.10
8	Zach Ertz	TE	PHI	14	106	78	74	816	4	30	8	11	0	0	0	0	0	7.5	105.60
9	Jordan Reed	TE	WAS	12	89	66	74	686	6	33	8	10	0	0	0	1	1	8.6	102.60
10	Antonio Gates	TE	SD	14	93	53	57	548	7	27	6	10	0	0	0	1	1	6.8	94.80
11	Hunter Henry	TE	SD	15	53	36	68	478	8	59	9	13	0	0	0	1	1	6.3	93.80
12	Coby Fleener	TE	NO	16	82	50	61	631	3	50	8	13	1	2	1	2	0	5.5	87.30
13	Jack Doyle	TE	IND	16	75	59	79	584	5	24	8	10	0	0	0	1	1	5.4	86.40
14	Jason Witten	TE	DAL	16	95	69	73	673	3	35	7	10	0	0	0	1	1	5.2	83.30
15	Eric Ebron	TE	DET	13	85	61	72	711	1	61	8	12	1	1	1	0	0	6.4	83.20
16	Dennis Pitta	TE	BAL	16	121	86	71	729	2	30	6	9	0	0	0	1	1	5.2	82.90
17	CJ Fiedorowicz	TE	HOU	15	89	54	61	559	4	26	6	10	0	0	0	1	0	5.3	79.90
18	Charles Clay	TE	BUF	15	87	57	66	552	4	40	6	10	0	0	0	0	0	5.3	79.20
19	Dwayne Allen	TE	IND	14	52	35	67	406	6	23	8	12	0	0	0	1	0	5.6	78.60
20	Gary Barnidge	TE	CLE	16	81	55	68	612	2	43	8	11	0	0	0	0	0	4.7	75.20
21	Zach Miller	TE	CHI	10	64	47	73	486	4	34	8	10	0	0	0	0	0	7.3	72.60
22	Rob Gronkowski	TE	NE	8	38	25	66	540	3	53	14	22	0	0	0	0	0	9	72
23	Vernon Davis	TE	WAS	16	59	44	75	583	2	44	10	13	0	0	0	0	0	4.4	70.30
24	Tyler Eifert	TE	CIN	8	47	29	62	394	5	71	8	14	0	0	0	0	0	8.7	69.40
25	Vance McDonald	TE	SF	11	45	24	53	391	4	75	9	16	0	0	0	0	0	5.7	63.10
26	Lance Kendricks	TE	LA	16	87	50	58	499	2	44	6	10	0	0	0	0	1	3.7	59.90
27	Ryan Griffin	TE	HOU	16	74	50	68	442	2	45	6	9	0	0	0	1	1	3.4	54.20
28	Clive Walford	TE	OAK	15	52	33	64	359	3	31	7	11	0	0	0	0	0	3.6	53.90
29	Julius Thomas	TE	JAX	9	51	30	59	281	4	24	6	9	0	0	0	0	0	5.8	52.10
30	Jesse James	TE	PIT	16	60	39	65	338	3	24	6	9	0	0	0	0	0	3.2	51.80
31	Jermaine Gresham	TE	ARI	16	61	37	61	391	2	34	6	11	0	0	0	1	0	3.2	51.10
32	Garrett Celek	TE	SF	16	51	29	57	350	3	31	7	12	0	0	0	2	1	3.2	51
33	Dion Sims	TE	MIA	14	35	26	74	256	4	28	7	10	0	0	0	0	0	3.5	49.60
34	Will Tye	TE	NYG	16	70	48	69	395	1	27	6	8	0	0	0	0	0	2.8	45.50
35	Austin Hooper	TE	ATL	14	27	19	70	271	3	44	10	14	0	0	0	0	0	3.2	45.10
36	Jared Cook	TE	GB	10	51	30	59	377	1	47	7	13	0	0	0	1	1	4.2	41.70
37	Richard Rodgers	TE	GB	16	47	30	64	271	2	22	6	9	0	0	0	0	0	2.4	39.10
38	Jacob Tamme	TE	ATL	8	31	22	71	210	3	19	7	10	0	0	0	0	0	4.9	39
39	Trey Burton	TE	PHI	15	60	37	62	327	1	32	5	9	0	0	0	0	0	2.6	38.70
40	Levine Toilolo	TE	ATL	16	19	13	68	264	2	46	14	20	0	0	0	0	0	2.4	38.40
41	Ladarius Green	TE	PIT	6	34	18	53	304	1	37	9	17	0	0	0	0	0	6.1	36.40
42	Erik Swoope	TE	IND	16	22	15	68	297	1	45	14	20	0	0	0	0	0	2.2	35.70
43	Virgil Green	TE	DEN	12	37	22	60	237	1	31	6	11	0	0	0	0	0	2.5	29.70
44	CJ Uzomah	TE	CIN	10	38	25	66	234	1	54	6	9	0	0	0	0	0	2.9	29.40
45	Mychal Rivera	TE	OAK	13	25	18	72	192	1	27	8	11	0	0	0	0	0	1.9	25.20
46	Luke Willson	TE	SEA	11	21	15	71	129	2	19	6	9	0	0	0	0	0	2.3	24.90
47	Xavier Grimble	TE	PIT	13	21	11	52	118	2	20	6	11	0	0	0	0	0	1.8	23.80
48	Marcedes Lewis	TE	JAX	10	30	20	67	169	1	37	6	8	0	0	0	0	0	2.3	22.90
49	Ben Koyack	TE	JAX	14	24	19	79	161	1	17	7	9	0	0	0	0	0	1.6	22.10
50	Darren Fells	TE	ARI	14	18	14	78	154	1	37	9	11	0	0	0	0	0	1.5	21.40
